id	time	stream	text	context	notes
36	2019-10-08 13:05:46.38	CMD	"yeah move and take a good picture please"	None	None
37	2019-10-08 13:06:10.29	DM->RN	" send image of the bamboo"	None	None
38	2019-10-08 13:06:10.29	DM->CMD	"I will send image."	None	None
39	2019-10-08 13:06:21.26	RN	" I'm unsure which object you mean. <beep>"	None	None
40	2019-10-08 13:06:21.26	DM->CMD	"I'm unsure which object you mean. <beep>"	None	None
41	2019-10-08 13:06:03.86	CMD	"can you turn to the right"	None	None
42	2019-10-08 13:06:27.20	DM->CMD	"Can you repeat that? <beep>"	None	None
43	2019-10-08 13:06:07.56	CMD	"turn to the right"	None	None
44	2019-10-08 13:06:30.32	DM->CMD	"How far should I turn to the right? <beep>"	None	None
45	2019-10-08 13:06:10.74	CMD	"ninety degrees"	None	None
46	2019-10-08 13:06:33.32	DM->RN	" turn right 90 degrees"	None	None
47	2019-10-08 13:06:33.32	DM->CMD	"I will turn right 90 degrees."	None	None
48	2019-10-08 13:06:37.91	RN	" turning. . ."	None	None
49	2019-10-08 13:06:37.95	DM->CMD	"turning. . ."	None	None
50	2019-10-08 13:06:48.21	RN	" done"	None	None
51	2019-10-08 13:06:48.22	DM->CMD	"done"	None	None
52	2019-10-08 13:06:28.07	CMD	"take a picture"	None	None
53	2019-10-08 13:06:50.70	DM->RN	" send image"	None	None
54	2019-10-08 13:06:50.70	DM->CMD	"I will send image."	None	None
i001	2019-10-08 13:06:14.85	IMAGE	"frame001"	None	None
55	2019-10-08 13:06:53.10	RN	" sent"	None	None
56	2019-10-08 13:06:53.21	DM->CMD	"sent"	None	None
57	2019-10-08 13:06:45.11	CMD	"okay turn a hundred eighty degrees to the north"	None	None
58	2019-10-08 13:07:11.04	DM->RN	" turn 180"	None	None
59	2019-10-08 13:07:11.05	DM->CMD	"I will turn 180."	None	None
60	2019-10-08 13:07:13.13	RN	" turning. . ."	None	None
61	2019-10-08 13:07:13.18	DM->CMD	"turning. . ."	None	None
62	2019-10-08 13:07:28.77	RN	" done"	None	None
63	2019-10-08 13:07:28.84	DM->CMD	"done"	None	None
64	2019-10-08 13:07:10.07	CMD	"take a picture"	None	None
65	2019-10-08 13:07:32.60	DM->RN	" send image"	None	None
66	2019-10-08 13:07:32.60	DM->CMD	"I will send image."	None	None
i002	2019-10-08 13:06:56.43	IMAGE	"frame002"	None	None
67	2019-10-08 13:07:34.84	RN	" sent"	None	None
68	2019-10-08 13:07:34.88	DM->CMD	"sent"	None	None
69	2019-10-08 13:07:25.46	CMD	"can you go through that doorway straight ahead"	None	None
70	2019-10-08 13:07:49.33	DM->CMD	"How far forward should I go? <beep>"	None	None
